OBJECTID,FACILITYID,MATERIAL_cof,DIAMETER,LENGTH,Major_Road,Major_Intersection,Minor_Intersection,Minor_Road,Buildings,Railroad,ROW,WaterAreas,WaterLines,zone,affected_lats,SchoolChildcare,Healthcare,CriticalCustomers,DIAMETER_score,Railroad_score,Buildings_score,WaterBodies_score,affected_lats_score,school_childcare_score,medical_score,critical_cust_score,Roadway_score,COF,INSTALLDATE,MATERIAL_lof,Age,Material,Service Life,Service Life Score,Breaks,Breaks_score,Z_MAX,Break Density Score,LOF,COF_normalized,LOF_normalized,RISK
22,wM-25,DIP,6,171.0,354.9383785387607,385.0959459559353,0.0,0.0,42.5792186000406,3889.7005190744544,,1385.2203836821843,,Zone-12,5.0,,,,4,0,0,0,1,0,0,0,7,2,1979-12-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,0.0,0.0,3.0,4,3,12
23,wM-26,DIP,6,7.0,354.9386501776001,479.8768047336428,96.05918468858566,0.0,66.36185474867195,4060.2072598299646,,1379.070191335754,,Zone-12,5.0,,,,4,0,0,0,1,0,0,0,6,2,1979-12-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,0.0,0.0,3.0,4,3,12
24,wM-27,DIP,6,180.0,350.59665962116213,479.8764809193327,0.0,0.0,69.93145885367038,4060.859571121844,,1350.1717364466615,,Zone-12,5.0,,,,4,0,0,0,1,0,0,0,7,2,1979-12-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,0.0,0.0,3.0,4,3,12
25,wM-28,DIP,4,366.0,1240.1165039614195,1223.1460131450997,0.0,0.0,54.29373397437418,2906.557677417813,,917.6966664277264,,Zone-13,16.0,,,,4,0,0,0,5,0,0,0,7,3,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,1.0,8.0,177.2103279948336,9.0,5.0,6,5,30
26,wM-548,DIP,8,695.0,1957.443326786608,1957.4210561445493,0.0,0.0,38.276749156701946,2780.623572182144,,417.1303982564357,,Zone-14,6.0,,,,4,0,0,0,1,0,0,0,7,2,1985-01-01 18:23:00.000000,DIP,39,DIP,90,5.0,,0.0,0.0,0.0,3.0,4,3,12
27,wM-32,PVC,6,512.0,1540.2647102133033,1522.4796570436135,0.0,0.0,57.662035925958506,3115.779470115801,,415.2539560920163,,Zone-15,3.0,,,,4,0,0,0,1,0,0,0,7,2,1984-11-01 00:00:00.000000,PVC,40,PVC,100,4.0,,0.0,,0.0,2.0,4,2,8
28,wM-33,DIP,8,8.0,1952.8536545279512,1953.7381303578952,0.0,0.0,99.66435427062876,3407.2573808499715,,415.2539560920163,,Zone-15,3.0,,,,4,0,0,0,1,0,0,0,7,2,1985-01-29 18:24:00.000000,DIP,39,DIP,90,5.0,,0.0,0.0,0.0,3.0,4,3,12
29,wM-34,PVC,6,139.0,1952.8536545279512,1953.7381303578952,0.0,0.0,64.28974348272583,3413.7191182156266,,282.1218557060169,,Zone-15,3.0,,,,4,0,0,0,1,0,0,0,7,2,1984-12-01 00:00:00.000000,PVC,40,PVC,100,4.0,,0.0,,0.0,2.0,4,2,8
30,wM-35,PVC,6,418.0,1806.104776907388,1796.1075234299028,0.0,0.0,57.006988159390005,3493.428060433551,,217.092939143802,,Zone-16,7.0,,,,4,0,0,0,1,0,0,0,7,2,1984-12-01 00:00:00.000000,PVC,40,PVC,100,4.0,,0.0,,0.0,2.0,4,2,8
31,wM-36,DIP,4,648.0,1539.1244945921012,1521.3896131881584,0.0,0.0,43.221952726426494,2572.8648668597766,,747.4515274034246,,Zone-17,10.0,,,,4,0,0,0,1,0,0,0,7,2,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,2.0,10.0,197.75145430460103,10.0,6.0,4,6,24
32,wM-37,DIP,4,4.0,1536.9441244359427,1519.178690272957,0.0,0.0,78.28753865270883,3110.333308885444,,917.6966664277264,,Zone-13,16.0,,,,4,0,0,0,5,0,0,0,7,3,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,,0.0,160.88075059599117,8.0,3.0,6,3,18
33,wM-38,DIP,6,4.0,1536.9441244359427,1519.178690272957,0.0,0.0,78.04377245330393,3113.46491925188,,913.7308289323624,,Zone-13,16.0,,,,4,0,0,0,5,0,0,0,7,3,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,,0.0,160.07572686602666,8.0,3.0,6,3,18
34,wM-39,CAS,6,222.0,1149.6431006317612,1132.3948499571632,0.0,0.0,61.98885975276691,3662.228707350725,,694.9583912646996,,Zone-18,1.0,,,,4,0,0,0,1,0,0,0,7,2,1956-01-01 00:00:00.000000,CAS,68,CAS,75,10.0,,0.0,25.03553492041153,3.0,6.0,4,6,24
35,wM-40,CAS,6,336.0,766.1599865660556,783.7702162003404,0.0,0.0,39.97336210474895,3394.202612866872,,1035.26034263921,,Zone-19,12.0,,,,4,0,0,0,5,0,0,0,7,3,1956-01-01 00:00:00.000000,CAS,68,CAS,75,10.0,,0.0,56.52085003315565,5.0,7.0,6,7,42
36,wM-41,CAS,4,447.0,363.6567436142162,374.52777992414417,0.0,0.0,39.73535822111809,3392.3092933013195,,1359.8984381928788,,Zone-20,16.0,,,,4,0,0,0,5,0,0,0,7,3,1955-01-01 18:16:00.000000,CAS,69,CAS,75,10.0,,0.0,69.99362096938809,6.0,7.0,6,7,42
37,wM-43,DIP,8,499.0,0.0,0.0,534.4775106901761,6.127212276294387,48.74984589277607,312.75374817147434,,1594.2779301093317,,Zone-21,8.0,,,,4,0,0,0,1,0,0,0,10,3,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,0.0,0.0,2.0,6,2,12
38,wM-44,DIP,8,12.0,0.0,0.0,594.299730724065,0.0,80.16186285614405,312.4021338662325,,1821.19768286446,,Zone-22,,,,,4,0,0,0,0,0,0,0,10,2,1995-01-01 18:42:00.000000,DIP,29,DIP,90,4.0,,0.0,0.0,0.0,2.0,4,2,8
39,wM-45,CAS,4,523.0,389.268607806031,371.9417054180879,0.0,0.0,15.995862434841785,1074.5080279896613,,1661.7049045555827,,Zone-23,6.0,,,,4,0,5,0,1,0,0,0,7,3,1958-01-01 16:22:00.000000,CAS,66,CAS,75,9.0,3.0,10.0,93.60767745710068,8.0,9.0,6,9,54
40,wM-46,CAS,4,378.0,83.4259936207343,89.83865369648208,0.0,0.0,15.884802161855085,759.666268013175,,1846.0930291012144,,Zone-24,5.0,,,,4,0,5,0,1,0,0,0,7,3,1958-01-01 00:00:00.000000,CAS,66,CAS,75,9.0,,0.0,93.9296440097322,8.0,7.0,6,7,42
41,wM-47,CAS,6,2.0,83.4259936207343,89.77838685716748,0.0,0.0,73.93136458997476,759.666268013175,,1845.2479352665327,,Zone-24,5.0,,,,4,0,0,0,1,0,0,0,7,2,1958-01-01 00:00:00.000000,CAS,66,CAS,75,9.0,,0.0,75.31847762321364,7.0,7.0,4,7,28
42,wM-48,CAS,4,2.0,81.79056220137451,87.8702673468819,0.0,0.0,73.93136458997476,758.053848189939,,1844.322091632706,,Zone-24,5.0,,,,4,0,0,0,1,0,0,0,7,2,1958-01-01 00:00:00.000000,CAS,66,CAS,75,9.0,,0.0,75.27752784474171,7.0,7.0,4,7,28
43,wM-49,DIP,8,493.0,0.0,0.0,28.91554932276708,0.0,15.363489505282862,719.1812527303769,,1276.2093144336764,,Zone-25,5.0,,,,4,0,5,0,1,0,0,0,10,3,1980-06-01 00:00:00.000000,DIP,44,DIP,90,5.0,,0.0,33.24859437935348,3.0,4.0,6,4,24
44,wM-53,DIP,12,33.0,0.0,0.0,292.91364148097523,0.34455671660061,47.69498989729484,1004.124843843512,,1279.5852778542708,,Zone-26,6.0,,,,7,0,0,0,1,0,0,0,10,3,1980-06-01 00:00:00.000000,DIP,44,DIP,90,5.0,,0.0,25.04470485467885,2.0,3.0,6,3,18
45,wM-54,DIP,12,4.0,0.0,0.0,302.4102761140622,0.0,50.21260589449746,1017.2756674613946,,1279.5852778542708,,Zone-26,6.0,,,,7,0,0,0,1,0,0,0,10,3,1980-06-01 00:00:00.000000,DIP,44,DIP,90,5.0,,0.0,24.237991609479767,2.0,3.0,6,3,18
46,wM-55,DIP,12,28.0,0.0,0.0,308.04579412254134,0.0,50.28522407944463,1023.4424129545652,,1281.3925894066335,,Zone-27,,,,,7,0,0,0,0,0,0,0,10,3,1980-06-01 00:00:00.000000,DIP,44,DIP,90,5.0,,0.0,24.173201418201035,2.0,3.0,6,3,18
47,wM-57,DIP,12,6.0,0.0,0.0,305.9688332386123,0.0,47.99471417247734,1020.861108489998,,1282.6440200123764,,Zone-27,,,,,7,0,0,0,0,0,0,0,10,3,1980-06-01 00:00:00.000000,DIP,44,DIP,90,5.0,,0.0,24.308562736341525,2.0,3.0,6,3,18
48,wM-59,DIP,8,808.0,0.0,0.0,337.62688877178385,0.0,22.626869713108345,707.2713633743926,,1146.1046446199064,,Zone-28,16.0,,,,4,0,0,0,5,0,0,0,10,3,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,20.425263083061363,2.0,2.0,6,2,12
49,wM-61,DIP,8,616.0,0.0,0.0,349.5319967085166,0.0,24.648818148543388,712.4275142371296,,1585.2162007132565,,Zone-29,16.0,,,,4,0,0,0,5,0,0,0,10,3,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,9.010819055620113,1.0,2.0,6,2,12
50,wM-62,DIP,12,397.0,0.0,0.0,361.669887022848,0.095745122200918,29.753719267105588,317.44520072694223,,1843.5766097226017,,Zone-30,1.0,,,,7,0,0,0,1,0,0,0,10,3,1998-01-29 18:41:00.000000,DIP,26,DIP,90,3.0,,0.0,8.665020012830425,1.0,2.0,6,2,12
51,wM-63,DIP,12,5.0,0.0,0.0,617.1900979977073,0.076595230091672,73.60832047040913,312.6421690500114,,1841.3712462851004,,Zone-22,,,,,7,0,0,0,0,0,0,0,10,3,2005-05-01 00:00:00.000000,DIP,19,DIP,90,3.0,,0.0,0.0,0.0,2.0,6,2,12
52,wM-64,DIP,8,6.0,0.0,0.0,617.2307867426557,0.076780685610211,70.35982684059887,312.64244678046185,,1841.371534453592,,Zone-22,,,,,4,0,0,0,0,0,0,0,10,2,2005-05-01 00:00:00.000000,DIP,19,DIP,90,3.0,,0.0,0.0,0.0,2.0,4,2,8
53,wM-65,DIP,8,17.0,0.0,0.0,358.15568683214366,0.0,53.57184503597984,717.30225108205,,2041.5049094472968,,Zone-31,,,,,4,0,0,0,0,0,0,0,10,2,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,8.989140202892713,1.0,2.0,4,2,8
54,wM-67,DIP,8,691.0,0.0,0.0,358.47090348525813,4.505500994531236,8.411951850592875,714.3246458134503,,1500.0121175564232,,Zone-32,15.0,,,,4,0,5,0,5,0,0,0,10,4,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,8.93792848873207,1.0,2.0,8,2,16
55,wM-68,DIP,8,6.0,0.0,0.0,462.8572934779813,373.29398603036,47.64701372681839,714.3246458134503,,1494.5232323915168,,Zone-33,,,,,4,0,0,0,0,0,0,0,10,2,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,0.0,0.0,2.0,4,2,8
57,wM-70,PVC,8,46.0,0.0,0.0,462.8572934779813,351.95312105738304,11.630097584217522,668.870313963572,,1477.4031001750177,,Zone-33,,,,,4,0,5,0,0,0,0,0,10,3,2001-12-01 00:00:00.000000,PVC,23,PVC,100,3.0,,0.0,,0.0,2.0,6,2,12
58,wM-72,DIP,8,5.0,0.0,0.0,459.9547970126931,373.2388951336436,49.343713927408125,714.3700497388209,,1490.24736424392,,Zone-33,,,,,4,0,0,0,0,0,0,0,10,2,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,0.0,0.0,2.0,4,2,8
59,wM-73,DIP,12,679.0,0.0,0.0,353.42835832703514,0.0,9.8913841124608,699.6247432564444,,767.998820606661,,Zone-34,13.0,,,,7,0,5,0,5,0,0,0,10,4,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,0.0,0.0,2.0,8,2,16
60,wM-74,DIP,12,792.0,0.0,0.0,353.26164700482246,0.0,29.956336144370013,699.3200205480902,,461.9253110024816,,Zone-35,19.0,,,,7,0,0,0,5,0,0,0,10,4,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,7.238826151381805,1.0,2.0,8,2,16
61,wM-75,DIP,8,620.0,0.0,0.0,356.435716527885,0.0,47.78322843364136,698.9136468386256,,480.8824748611465,,Zone-36,13.0,,,,4,0,0,0,5,0,0,0,10,3,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,20.1856830330624,2.0,2.0,6,2,12
62,wM-76,DIP,8,309.0,0.0,0.0,361.272991647884,0.0,83.54766721218733,697.7035456859065,,813.551940060465,,Zone-37,3.0,,,,4,0,0,0,1,0,0,0,10,3,2002-12-01 00:00:00.000000,DIP,22,DIP,90,3.0,,0.0,19.88796390885403,2.0,2.0,6,2,12
63,wM-77,DIP,6,755.0,364.5711449030939,389.0209246493417,0.0,0.0,42.26614549223821,3585.628681954858,,1035.26034263921,,Zone-19,12.0,,,,4,0,0,0,5,0,0,0,7,3,1988-01-01 00:00:00.000000,DIP,36,DIP,90,4.0,,0.0,35.26151724963093,3.0,3.0,6,3,18
64,wM-78,CAS,6,6.0,1039.0165008874092,1027.433970156254,0.0,0.0,80.18122399140081,3585.628681954858,,1029.62385318509,,Zone-19,12.0,,,,4,0,0,0,5,0,0,0,7,3,1956-01-01 18:19:00.000000,CAS,68,CAS,75,10.0,,0.0,35.26151724963093,4.0,6.0,6,6,36
65,wM-79,DIP,4,600.0,808.1237239247228,791.9675789012636,0.0,0.0,38.49171903871244,2137.6444950179707,,1663.488391207963,,Zone-38,2.0,,,,4,0,0,0,1,0,0,0,7,2,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,,0.0,113.93033979541131,6.0,2.0,4,2,8
66,wM-81,DIP,4,4.0,813.4698244811008,795.6434697269475,0.0,0.0,81.79053965838678,2130.941473458942,,1910.919465794689,,Zone-6,3.0,,,,4,0,0,0,1,0,0,0,7,2,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,,0.0,115.15807249115,6.0,2.0,4,2,8
67,wM-90,DIP,6,2.0,359.059130799204,384.27447312623104,0.0,0.0,57.24219133319438,3887.70006466671,,1434.7755023105756,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,7,2,1979-12-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,0.0,0.0,3.0,4,3,12
68,wM-91,DIP,4,5.0,359.10733613271566,384.27447312623104,0.0,0.0,55.1948499105805,3887.2017783280335,,1430.5525016029153,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,7,2,1988-01-01 00:00:00.000000,DIP,36,DIP,90,4.0,,0.0,0.0,0.0,2.0,4,2,8
69,wM-93,CAS,6,7.0,1149.6431006317612,1132.3948499571632,107.90659242343372,0.0,61.98885975276691,3656.4554132115786,,903.9497891036668,,Zone-18,1.0,,,,4,0,0,0,1,0,0,0,6,2,1956-01-01 00:00:00.000000,CAS,68,CAS,75,10.0,,0.0,25.951619076322288,3.0,6.0,4,6,24
70,wM-94,CAS,6,130.0,1043.809444417294,1031.8327979008604,0.0,0.0,52.35835772743799,3588.991082475419,,906.0983252150776,,Zone-18,1.0,,,,4,0,0,0,1,0,0,0,7,2,1956-01-01 18:19:00.000000,CAS,68,CAS,75,10.0,,0.0,34.80222909421908,4.0,6.0,4,6,24
71,wM-100,DIP,6,1280.0,0.0,0.0,0.0,0.0,45.55878959444631,823.8124972529464,,1522.3636294783537,,Zone-40,7.0,Connected,,,4,0,0,0,1,10,0,0,10,3,1979-05-01 00:00:00.000000,DIP,45,DIP,90,5.0,1.0,8.0,37.80869951595417,3.0,6.0,6,6,36
72,wM-102,DIP,8,405.0,0.0,0.0,30.28529361768844,0.0,25.065475570959634,655.1408223452692,,1330.7402906243146,,Zone-41,4.0,,,,4,0,0,0,1,0,0,0,10,3,1980-05-31 17:06:00.000000,DIP,44,DIP,90,5.0,1.0,8.0,52.51468127974079,4.0,6.0,6,6,36
73,wM-103,DIP,8,5.0,0.0,0.0,197.55247186166216,0.0,22.56532431287475,649.742484586777,,1615.4271624924104,,Zone-41,4.0,,,,4,0,0,0,1,0,0,0,10,3,1980-05-31 00:00:00.000000,DIP,44,DIP,90,5.0,,0.0,52.51468127974079,4.0,4.0,6,4,24
74,wM-104,DIP,6,0.0,0.0,0.0,197.18753814758804,0.0,24.711326405860767,655.1339570488922,,1618.1316238208062,,Zone-41,4.0,,,,4,0,0,0,1,0,0,0,10,3,2004-12-01 00:00:00.000000,DIP,20,DIP,90,3.0,,0.0,52.54475575552294,4.0,3.0,6,3,18
75,wM-105,DIP,6,5.0,0.0,0.0,24.475667382911183,0.0,74.7985640454142,715.2267846847396,,1324.28990625221,,Zone-25,5.0,,,,4,0,0,0,1,0,0,0,10,3,1980-06-01 00:00:00.000000,DIP,44,DIP,90,5.0,,0.0,33.245004704641815,3.0,4.0,6,4,24
76,wM-106,DIP,8,6.0,0.0,0.0,29.29134683528312,0.0,77.25133169208434,715.4857977804854,,1328.9428460822862,,Zone-25,5.0,,,,4,0,0,0,1,0,0,0,10,3,1980-05-31 00:00:00.000000,DIP,44,DIP,90,5.0,,0.0,33.245004704641815,3.0,4.0,6,4,24
77,wM-109,PVC,6,553.0,159.73141317891398,582.7989478281451,1260.29494792359,600.5668389623911,303.9856044237663,1517.2777932113447,,2387.2575413871923,,Zone-42,8.0,,,,4,0,0,0,1,0,0,0,0,1,1981-12-01 00:00:00.000000,PVC,43,PVC,100,5.0,,0.0,,0.0,3.0,1,3,3
78,wM-110,PVC,6,12.0,159.73141317891398,582.7989478281451,1252.4233831769393,600.5668389623911,302.40952769129234,1517.2777932113447,,2382.891272923665,,Zone-42,8.0,,,,4,0,0,0,1,0,0,0,0,1,1981-12-01 00:00:00.000000,PVC,43,PVC,100,5.0,,0.0,,0.0,3.0,1,3,3
79,wM-112,CAS,4,790.0,382.2869326840786,364.62904727727886,0.0,0.0,39.38446043679307,1094.8652960812235,,870.654962339498,,Zone-43,14.0,,,,4,0,0,0,5,0,0,0,7,3,1959-01-01 18:52:00.000000,CAS,65,CAS,75,9.0,1.0,8.0,39.400295037636816,4.0,8.0,6,8,48
82,wM-116,DIP,6,203.0,384.98533291383126,368.3464922485532,0.0,0.0,45.18374248281996,1106.005940849816,,873.3072884839987,,Zone-44,3.0,,,,4,0,0,0,1,0,0,0,7,2,1985-01-01 18:38:00.000000,DIP,39,DIP,90,5.0,,0.0,33.82138281398484,3.0,4.0,4,4,16
83,wM-118,DIP,6,472.0,534.0400133023667,517.4164718927373,0.0,0.0,76.70307215217314,1237.9347999951112,,1249.0918563916173,,Zone-45,8.0,,,,4,0,0,0,1,0,0,0,7,2,1979-12-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,34.07490998544202,3.0,4.0,4,4,16
84,wM-119,DIP,6,707.0,751.296935717998,793.9332550989623,0.0,0.0,39.96484747378186,1465.901976654218,,1297.2355673711745,,Zone-46,12.0,,,,4,0,0,0,5,0,0,0,7,3,1990-01-01 00:00:00.000000,DIP,34,DIP,90,4.0,,0.0,44.157673399808594,4.0,3.0,6,3,18
85,wM-120,DIP,6,541.0,0.0,0.0,310.046571634915,0.0,47.85888859473237,3722.174956937103,,1700.8758138670405,,Zone-47,5.0,,,,4,0,0,0,1,0,0,0,10,3,1983-01-01 18:21:00.000000,DIP,41,DIP,90,5.0,,0.0,0.0,0.0,3.0,6,3,18
86,wM-124,DIP,6,29.0,0.0,0.0,305.47720626636163,0.0,56.71815296982872,3683.906379791189,,1838.3147473259453,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,10,3,2009-06-01 00:00:00.000000,DIP,15,DIP,90,2.0,,0.0,0.0,0.0,1.0,6,1,6
87,wM-125,DIP,6,11.0,0.0,0.0,309.681721256274,0.0,69.36164511218112,3711.419838343808,,1834.267998850726,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,10,3,1983-01-01 00:00:00.000000,DIP,41,DIP,90,5.0,,0.0,0.0,0.0,3.0,6,3,18
88,wM-126,DIP,6,366.0,0.0,0.0,0.0,0.0,28.647546287040143,3711.419838343808,,1506.1217948002145,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,10,3,1983-01-01 00:00:00.000000,DIP,41,DIP,90,5.0,,0.0,0.0,0.0,3.0,6,3,18
89,wM-543,CAS,6,449.0,3.443920530858825,0.0,0.0,0.0,55.84520729367066,2895.825534468041,,1822.3077510395333,,Zone-20,16.0,,,,4,0,0,0,5,0,0,0,10,3,1955-01-01 00:00:00.000000,CAS,69,CAS,75,10.0,,0.0,70.31170645770871,6.0,7.0,6,7,42
