OBJECTID,FACILITYID,MATERIAL,DIAMETER,LENGTH,Major_Road,Major_Intersection,Minor_Intersection,Minor_Road,Buildings,Railroad,ROW,WaterAreas,WaterLines,zone,affected_lats,SchoolChildcare,Healthcare,CriticalCustomers,DIAMETER_score,Railroad_score,Buildings_score,WaterBodies_score,affected_lats_score,school_childcare_score,medical_score,critical_cust_score,Roadway_score,COF
38,wM-44,DIP,8,12.0,0.0,0.0,594.299730724065,0.0,80.16186285614405,312.4021338662325,,1821.19768286446,,Zone-22,,,,,4,0,0,0,0,0,0,0,10,2
39,wM-45,CAS,4,523.0,389.268607806031,371.94170541808785,0.0,0.0,15.995862434841785,1074.5080279896613,,1661.7049045555827,,Zone-23,6.0,,,,4,0,5,0,1,0,0,0,7,3
40,wM-46,CAS,4,378.0,83.4259936207343,89.83865369648208,0.0,0.0,15.884802161855085,759.666268013175,,1846.0930291012144,,Zone-24,5.0,,,,4,0,5,0,1,0,0,0,7,3
41,wM-47,CAS,6,2.0,83.4259936207343,89.77838685716748,0.0,0.0,73.93136458997476,759.666268013175,,1845.2479352665332,,Zone-24,5.0,,,,4,0,0,0,1,0,0,0,7,2
42,wM-48,CAS,4,2.0,81.79056220137451,87.8702673468819,0.0,0.0,73.93136458997476,758.053848189939,,1844.322091632706,,Zone-24,5.0,,,,4,0,0,0,1,0,0,0,7,2
43,wM-49,DIP,8,493.0,0.0,0.0,28.91554932276708,0.0,15.363489505282862,719.1812527303769,,1276.2093144336764,,Zone-25,5.0,,,,4,0,5,0,1,0,0,0,10,3
44,wM-53,DIP,12,33.0,0.0,0.0,292.91364148097523,0.34455671660061,47.69498989729484,1004.124843843512,,1279.5852778542708,,Zone-26,6.0,,,,7,0,0,0,1,0,0,0,10,3
45,wM-54,DIP,12,4.0,0.0,0.0,302.4102761140622,0.0,50.21260589449746,1017.2756674613946,,1279.5852778542708,,Zone-26,6.0,,,,7,0,0,0,1,0,0,0,10,3
46,wM-55,DIP,12,28.0,0.0,0.0,308.04579412254134,0.0,50.28522407944463,1023.4424129545652,,1281.3925894066335,,Zone-27,,,,,7,0,0,0,0,0,0,0,10,3
47,wM-57,DIP,12,6.0,0.0,0.0,305.9688332386123,0.0,47.99471417247734,1020.861108489998,,1282.6440200123764,,Zone-27,,,,,7,0,0,0,0,0,0,0,10,3
48,wM-59,DIP,8,808.0,0.0,0.0,337.62688877178385,0.0,22.626869713108345,707.2713633743926,,1146.1046446199064,,Zone-28,16.0,,,,4,0,0,0,5,0,0,0,10,3
49,wM-61,DIP,8,616.0,0.0,0.0,349.5319967085166,0.0,24.648818148543388,712.4275142371296,,1585.2162007132565,,Zone-29,16.0,,,,4,0,0,0,5,0,0,0,10,3
50,wM-62,DIP,12,397.0,0.0,0.0,361.669887022848,0.095745122200918,29.753719267105588,317.44520072694223,,1843.5766097226017,,Zone-30,1.0,,,,7,0,0,0,1,0,0,0,10,3
51,wM-63,DIP,12,5.0,0.0,0.0,617.1900979977073,0.076595230091672,73.60832047040913,312.6421690500114,,1841.3712462851004,,Zone-22,,,,,7,0,0,0,0,0,0,0,10,3
52,wM-64,DIP,8,6.0,0.0,0.0,617.2307867426557,0.076780685610211,70.35982684059887,312.64244678046185,,1841.371534453592,,Zone-22,,,,,4,0,0,0,0,0,0,0,10,2
53,wM-65,DIP,8,17.0,0.0,0.0,358.15568683214366,0.0,53.57184503597984,717.30225108205,,2041.5049094472972,,Zone-31,,,,,4,0,0,0,0,0,0,0,10,2
54,wM-67,DIP,8,691.0,0.0,0.0,358.47090348525813,4.505500994531236,8.411951850592875,714.3246458134503,,1500.0121175564232,,Zone-32,15.0,,,,4,0,5,0,5,0,0,0,10,4
55,wM-68,DIP,8,6.0,0.0,0.0,462.8572934779813,373.29398603036,47.64701372681839,714.3246458134503,,1494.5232323915168,,Zone-33,,,,,4,0,0,0,0,0,0,0,10,2
56,wM-69,,8,11.0,0.0,0.0,452.9399592488713,362.4235092929886,40.43416828857709,714.3700497388209,,1494.5232323915168,,Zone-33,,,,,4,0,0,0,0,0,0,0,10,2
57,wM-70,PVC,8,46.0,0.0,0.0,462.8572934779813,351.95312105738304,11.630097584217522,668.870313963572,,1477.4031001750177,,Zone-33,,,,,4,0,5,0,0,0,0,0,10,3
58,wM-72,DIP,8,5.0,0.0,0.0,459.9547970126931,373.2388951336436,49.343713927408125,714.3700497388209,,1490.24736424392,,Zone-33,,,,,4,0,0,0,0,0,0,0,10,2
59,wM-73,DIP,12,679.0,0.0,0.0,353.42835832703514,0.0,9.8913841124608,699.6247432564444,,767.998820606661,,Zone-34,13.0,,,,7,0,5,0,5,0,0,0,10,4
60,wM-74,DIP,12,792.0,0.0,0.0,353.26164700482246,0.0,29.956336144370013,699.3200205480902,,461.9253110024816,,Zone-35,19.0,,,,7,0,0,0,5,0,0,0,10,4
61,wM-75,DIP,8,620.0,0.0,0.0,356.435716527885,0.0,47.783228433641355,698.9136468386256,,480.88247486114653,,Zone-36,13.0,,,,4,0,0,0,5,0,0,0,10,3
62,wM-76,DIP,8,309.0,0.0,0.0,361.272991647884,0.0,83.54766721218733,697.7035456859065,,813.551940060465,,Zone-37,3.0,,,,4,0,0,0,1,0,0,0,10,3
63,wM-77,DIP,6,755.0,364.5711449030939,389.0209246493417,0.0,0.0,42.26614549223821,3585.628681954858,,1035.26034263921,,Zone-19,12.0,,,,4,0,0,0,5,0,0,0,7,3
64,wM-78,CAS,6,6.0,1039.0165008874092,1027.433970156254,0.0,0.0,80.18122399140081,3585.628681954858,,1029.62385318509,,Zone-19,12.0,,,,4,0,0,0,5,0,0,0,7,3
65,wM-79,DIP,4,600.0,808.1237239247228,791.9675789012636,0.0,0.0,38.49171903871244,2137.6444950179707,,1663.488391207963,,Zone-38,2.0,,,,4,0,0,0,1,0,0,0,7,2
66,wM-81,DIP,4,4.0,813.4698244811008,795.6434697269475,0.0,0.0,81.79053965838678,2130.941473458942,,1910.9194657946891,,Zone-6,3.0,,,,4,0,0,0,1,0,0,0,7,2
67,wM-90,DIP,6,2.0,359.05913079920396,384.27447312623104,0.0,0.0,57.24219133319438,3887.70006466671,,1434.7755023105756,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,7,2
68,wM-91,DIP,4,5.0,359.10733613271566,384.27447312623104,0.0,0.0,55.1948499105805,3887.2017783280335,,1430.5525016029153,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,7,2
69,wM-93,CAS,6,7.0,1149.6431006317612,1132.3948499571632,107.90659242343372,0.0,61.98885975276691,3656.4554132115786,,903.9497891036668,,Zone-18,1.0,,,,4,0,0,0,1,0,0,0,6,2
70,wM-94,CAS,6,130.0,1043.809444417294,1031.8327979008604,0.0,0.0,52.35835772743799,3588.991082475419,,906.0983252150775,,Zone-18,1.0,,,,4,0,0,0,1,0,0,0,7,2
71,wM-100,DIP,6,1280.0,0.0,0.0,0.0,0.0,45.55878959444631,823.8124972529464,,1522.3636294783537,,Zone-40,7.0,Connected,,,4,0,0,0,1,10,0,0,10,3
72,wM-102,DIP,8,405.0,0.0,0.0,30.28529361768844,0.0,25.065475570959634,655.1408223452692,,1330.7402906243146,,Zone-41,4.0,,,,4,0,0,0,1,0,0,0,10,3
73,wM-103,DIP,8,5.0,0.0,0.0,197.55247186166216,0.0,22.56532431287475,649.742484586777,,1615.4271624924104,,Zone-41,4.0,,,,4,0,0,0,1,0,0,0,10,3
74,wM-104,DIP,6,0.0,0.0,0.0,197.18753814758804,0.0,24.711326405860767,655.1339570488922,,1618.1316238208062,,Zone-41,4.0,,,,4,0,0,0,1,0,0,0,10,3
75,wM-105,DIP,6,5.0,0.0,0.0,24.475667382911183,0.0,74.7985640454142,715.2267846847396,,1324.28990625221,,Zone-25,5.0,,,,4,0,0,0,1,0,0,0,10,3
76,wM-106,DIP,8,6.0,0.0,0.0,29.29134683528312,0.0,77.25133169208434,715.4857977804854,,1328.9428460822862,,Zone-25,5.0,,,,4,0,0,0,1,0,0,0,10,3
77,wM-109,PVC,6,553.0,159.73141317891398,582.7989478281451,1260.29494792359,600.5668389623911,303.9856044237663,1517.2777932113447,,2387.2575413871923,,Zone-42,8.0,,,,4,0,0,0,1,0,0,0,0,1
78,wM-110,PVC,6,12.0,159.73141317891398,582.7989478281451,1252.4233831769393,600.5668389623911,302.40952769129234,1517.2777932113447,,2382.891272923665,,Zone-42,8.0,,,,4,0,0,0,1,0,0,0,0,1
79,wM-112,CAS,4,790.0,382.2869326840786,364.62904727727886,0.0,0.0,39.38446043679307,1094.8652960812235,,870.654962339498,,Zone-43,14.0,,,,4,0,0,0,5,0,0,0,7,3
80,wM-114,,6,3.0,382.2869326840786,365.65491650094526,0.0,0.0,76.80742507940128,1103.3075492039943,,870.654962339498,,Zone-43,14.0,,,,4,0,0,0,5,0,0,0,7,3
81,wM-115,,4,2.0,382.27676060862944,365.65491650094526,0.0,0.0,78.37116993696682,1103.2963043494303,,870.306232377473,,Zone-43,14.0,,,,4,0,0,0,5,0,0,0,7,3
82,wM-116,DIP,6,203.0,384.98533291383126,368.3464922485532,0.0,0.0,45.18374248281996,1106.005940849816,,873.3072884839987,,Zone-44,3.0,,,,4,0,0,0,1,0,0,0,7,2
83,wM-118,DIP,6,472.0,534.0400133023667,517.4164718927373,0.0,0.0,76.70307215217314,1237.9347999951112,,1249.0918563916173,,Zone-45,8.0,,,,4,0,0,0,1,0,0,0,7,2
84,wM-119,DIP,6,707.0,751.296935717998,793.9332550989623,0.0,0.0,39.96484747378186,1465.901976654218,,1297.2355673711745,,Zone-46,12.0,,,,4,0,0,0,5,0,0,0,7,3
85,wM-120,DIP,6,541.0,0.0,0.0,310.046571634915,0.0,47.85888859473237,3722.174956937103,,1700.8758138670403,,Zone-47,5.0,,,,4,0,0,0,1,0,0,0,10,3
86,wM-124,DIP,6,29.0,0.0,0.0,305.47720626636163,0.0,56.71815296982872,3683.906379791189,,1838.3147473259455,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,10,3
87,wM-125,DIP,6,11.0,0.0,0.0,309.681721256274,0.0,69.36164511218112,3711.419838343808,,1834.267998850726,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,10,3
88,wM-126,DIP,6,366.0,0.0,0.0,0.0,0.0,28.647546287040143,3711.419838343808,,1506.1217948002145,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,10,3
89,wM-543,CAS,6,449.0,3.443920530858825,0.0,0.0,0.0,55.84520729367066,2895.8255344680415,,1822.3077510395335,,Zone-20,16.0,,,,4,0,0,0,5,0,0,0,10,3
90,wM-129,DIP,6,173.0,359.10733613271566,345.2761358896433,0.0,0.0,35.171843382187866,3714.659481992629,,1435.4652226652267,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,7,2
91,wM-130,CAS,6,140.0,362.8376109885243,345.2614648098192,0.0,2.596465293422781,36.04733602338522,3574.8374492567764,,1506.1217948002145,,Zone-39,4.0,,,,4,0,0,0,1,0,0,0,7,2
92,wM-131,CAS,6,16.0,363.6567436142162,368.9808193070168,0.0,0.0,41.75926324140416,3558.81963383874,,1574.720113499439,,Zone-20,16.0,,,,4,0,0,0,5,0,0,0,7,3
93,wM-136,DIP,6,652.0,1330.2195852594116,1318.1710228312468,0.0,0.0,19.65444417957755,3775.0657179923487,,231.75950635673803,,Zone-48,3.0,,,,4,0,5,0,1,0,0,0,7,3
94,wM-140,DIP,6,254.0,1183.3120842856829,1206.5728322438135,0.0,0.0,39.30359126136501,3789.9476137170286,,648.6474022581449,,Zone-48,3.0,,,,4,0,0,0,1,0,0,0,7,2
95,wM-141,CAS,6,2.0,1328.5211603181904,1316.3655921505735,0.0,0.0,87.173962394333,3788.743771137232,,692.9696191532527,,Zone-48,3.0,,,,4,0,0,0,1,0,0,0,7,2
96,wM-143,PVC,6,16.0,1796.3320155528838,1787.4675992994967,66.4975147508503,10.22367486821886,83.64030615053603,3825.071947041416,,226.5673643318448,,Zone-16,7.0,,,,4,0,0,0,1,0,0,0,0,1
97,wM-545,,4,692.0,0.0,0.0,0.0,0.0,34.1481389532323,1732.8720860082665,,2078.7272497485574,,Zone-49,17.0,,,,4,0,0,0,5,0,0,0,10,3
98,wM-145,DIP,4,2.0,723.1110650125386,705.2919467561798,0.0,0.0,35.845367319647586,1733.6021797759352,,2141.6811670621864,,Zone-49,17.0,,,,4,0,0,0,5,0,0,0,7,3
99,wM-146,DIP,4,13.0,723.1110650125386,705.3025673593872,0.0,0.0,34.530302080186296,1735.4020520700662,,2129.471616249917,,Zone-49,17.0,,,,4,0,0,0,5,0,0,0,7,3
100,wM-148,DIP,8,10.0,2043.7442437870127,2026.1144657907275,0.0,0.0,75.36784899759121,2757.8540951414316,,450.87200878351496,,Zone-50,9.0,,,,4,0,0,0,1,0,0,0,7,2
101,wM-150,DIP,4,12.0,1846.3574166838168,1842.0023549171376,0.0,0.0,55.75805959317008,2562.990833751237,,742.3477124022319,,Zone-50,9.0,,,,4,0,0,0,1,0,0,0,7,2
102,wM-152,DIP,4,7.0,1314.5190825938582,1296.6895954464976,0.0,0.0,70.50168416439801,2144.5141706325676,,1429.1386004365743,,Zone-51,7.0,,,,4,0,0,0,1,0,0,0,7,2
103,wM-153,DIP,4,664.0,942.2660231788844,938.1932960589024,0.0,0.0,55.037938066049854,2150.1901541201173,,1430.8559133626484,,Zone-9,13.0,,,,4,0,0,0,5,0,0,0,7,3
104,wM-154,DIP,4,36.0,912.6831044928881,912.9511559379464,0.0,0.0,80.74428363594599,2680.9184699941975,,1628.000109304607,,Zone-9,13.0,,,,4,0,0,0,5,0,0,0,7,3
105,wM-155,DIP,12,715.0,735.6327584806955,717.8426500263004,0.0,0.0,26.47177265624628,1737.483646491441,,1429.1386004365743,,Zone-51,7.0,,,,7,0,0,0,1,0,0,0,7,2
106,wM-156,DIP,4,667.0,1240.1165039614195,1223.1460131450997,0.0,0.0,32.91678774930839,2352.779528042203,,1081.1623562591478,,Zone-13,16.0,,,,4,0,0,0,5,0,0,0,7,3
107,wM-157,DIP,4,38.0,1209.0732989139897,1191.4828656229831,0.0,0.0,79.8042834459267,2884.9184259349154,,1272.21047106389,,Zone-13,16.0,,,,4,0,0,0,5,0,0,0,7,3
108,wM-159,,4,389.0,391.6818624044712,373.8480495834312,0.0,0.0,28.734995661953157,1115.8275642176552,,2250.4664498996794,,Zone-52,11.0,,,,4,0,0,0,5,0,0,0,7,3
109,wM-160,DIP,12,395.0,0.0,0.0,0.0,0.0,27.619618212129577,718.1080984216297,,2058.51554811545,,Zone-53,1.0,,,,7,0,0,0,1,0,0,0,10,3
110,wM-161,,8,330.0,0.0,0.0,274.9136687937854,32.51928254716871,19.17273491458631,725.2306797711585,,1496.3634232210875,,Zone-54,12.0,,,Connected,4,0,5,0,5,0,0,10,10,4
111,wM-162,,8,61.0,0.0,0.0,271.130595307244,0.0,30.878291594821295,1055.125450650061,,1644.556875323079,,Zone-55,,,,,4,0,0,0,0,0,0,0,10,2
112,wM-163,CAS,12,683.0,8.086752161289873,0.0,0.0,0.0,7.275935270980434,1111.8638085061204,,1685.589356455778,,Zone-56,16.0,,,,7,0,5,0,5,0,0,0,10,4
113,wM-164,CAS,12,1.0,387.68074038893945,370.6254127948922,0.0,0.0,43.27582283883809,1113.334056936908,,2289.4715586724,,Zone-56,16.0,,,,7,0,0,0,5,0,0,0,7,3
114,wM-165,CAS,4,45.0,388.89018383098824,371.20260675212813,0.0,0.0,40.59365997269212,1113.7888964850015,,2280.36012401494,,Zone-56,16.0,,,,4,0,0,0,5,0,0,0,7,3
115,wM-166,CAS,4,2.0,389.64673712750016,371.8131086912585,0.0,0.0,39.18624919503249,1113.7888964850015,,2280.36012401494,,Zone-56,16.0,,,,4,0,0,0,5,0,0,0,7,3
116,wM-167,CAS,4,3.0,389.64673712750016,371.8131086912585,0.0,0.0,38.62797516225866,1113.7410200104648,,2278.3058992580454,,Zone-56,16.0,,,,4,0,0,0,5,0,0,0,7,3
117,wM-171,CAS,12,3.0,5.048633474033926,0.0,281.2403619732895,0.0,27.930227414293327,1111.8181050452695,,1683.00495315776,,Zone-57,2.0,,,,7,0,0,0,1,0,0,0,10,3
118,wM-172,DIP,6,3.0,1.883944371094044,0.0,278.07176467436807,0.0,33.353166653250334,1111.7708422646094,,1680.314678740088,,Zone-57,2.0,,,,4,0,0,0,1,0,0,0,10,3
119,wM-173,CAS,12,3.0,1.883944371094044,0.0,278.07176467436807,0.0,30.878291594821295,1111.7708422646094,,1680.314678740088,,Zone-57,2.0,,,,7,0,0,0,1,0,0,0,10,3
120,wM-174,CAS,12,162.0,0.0,0.0,116.37445050973778,0.0,17.45891937285144,1107.6949467927095,,1544.4981260641423,,Zone-57,2.0,,,,7,0,5,0,1,0,0,0,10,3
121,wM-175,CAS,4,1.0,124.05219773356512,106.6755464080398,116.35666155637104,0.0,17.45891937285144,1106.2383650996412,,1543.6607868289527,,Zone-57,2.0,,,,4,0,5,0,1,0,0,0,6,2
122,wM-176,DIP,8,643.0,0.0,0.0,0.0,0.0,23.199658985360497,309.05919787332857,,1288.5630316982788,,Zone-58,10.0,,,,4,0,0,0,1,0,0,0,10,3
123,wM-177,DIP,12,5.0,0.0,0.0,606.5084057819938,0.0,76.72675815613155,307.8965206733505,,1829.747646839768,,Zone-22,,,,,7,0,0,0,0,0,0,0,10,3
124,wM-178,DIP,12,11.0,0.0,0.0,606.516108758746,0.0,73.60844497809758,312.5127002455381,,1831.9371232788508,,Zone-22,,,,,7,0,0,0,0,0,0,0,10,3
125,wM-181,DIP,12,194.0,0.0,0.0,523.0003262267348,0.0,27.112515570372786,68.5339126538233,,1600.282346529974,,Zone-59,2.0,,,,7,5,0,0,1,0,0,0,10,3
126,wM-183,CAS,6,852.0,44.04291084269503,27.184041307886726,528.749379439608,0.0,16.51897100130539,253.84068896455557,,763.4492839420013,,Zone-60,8.0,,,,4,0,5,0,1,0,0,0,6,2
127,wM-184,DIP,6,795.0,389.3214378655383,371.50085240055773,0.0,0.0,36.06495140817528,254.48849188855172,,723.9525420358904,,Zone-61,6.0,,,,4,0,0,0,1,0,0,0,7,2
128,wM-185,DIP,12,318.0,58.027578213290894,40.99803234291458,0.0,0.0,22.300564069076568,767.3272967662784,,811.9873282820024,,Zone-62,2.0,,,,7,0,0,0,1,0,0,0,7,2
129,wM-186,DIP,12,3.0,0.0,0.0,350.43516279644854,0.0,54.912714770928105,699.5476137155728,,764.1461914925969,,Zone-35,19.0,,,,7,0,0,0,5,0,0,0,10,4
130,wM-187,DIP,12,5.0,0.0,0.0,353.31405098665795,0.0,52.86566090026558,699.5476137155728,,764.1461914925969,,Zone-35,19.0,,,,7,0,0,0,5,0,0,0,10,4
131,wM-188,DIP,12,379.0,0.0,0.0,514.6847804985613,0.0,36.5646888370006,259.4936560834297,,1538.689642509631,,Zone-63,1.0,,,,7,0,0,0,1,0,0,0,10,3
132,wM-189,DIP,8,613.0,0.0,0.0,88.06913573017215,0.0,6.485524027300819,645.5329592624433,,1539.0639622316248,,Zone-64,1.0,,,,4,0,5,0,1,0,0,0,10,3
133,wM-190,DIP,6,3.0,0.0,0.0,105.7549431685966,0.0,22.682419666261737,648.3020745325805,,1727.4835502721107,,Zone-64,1.0,,,,4,0,0,0,1,0,0,0,10,3
134,wM-191,CAS,4,130.0,0.0,0.0,0.0,0.0,25.340741043680243,650.9658022221917,,1728.7283268925344,,Zone-65,,,,,4,0,0,0,0,0,0,0,10,2
135,wM-192,DIP,8,129.0,0.0,0.0,108.0414988012167,0.0,8.83555084436774,648.3020745325805,,1618.498798742853,,Zone-64,1.0,,,,4,0,5,0,1,0,0,0,10,3
136,wM-193,CAS,4,1074.0,665.4846348027776,649.7761902300545,0.0,0.0,44.37594460056125,1344.2291620441033,,2044.970126219336,,Zone-66,3.0,,,,4,0,0,0,1,0,0,0,7,2
